seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
autonation honda dulles,-239.62264150943398,803616.2010159652,0,53,13.596878316641526,0.0,0
autonation honda hollywood,-638.3064516129032,1465465.5274986778,1,62,14.197684198543804,0.6931471805599453,0
autonation honda lewisville,-1267.5,4081534.722222222,0,10,15.221983878064139,0.0,2
autonation honda miami lakes,-753.395061728395,2442761.766975309,2,81,14.708640238269366,1.0986122886681098,1
autonation honda sanford,-185.98130841121494,797891.2449303473,0,107,13.589728835898779,0.0,0
autonation honda thornton road,-589.5833333333334,1408120.2651515154,0,12,14.157766937809347,0.0,0
autonation hyundai mall of georgia,519.4444444444445,698276.1437908496,0,18,13.456371357080991,0.0,0
autonation lincoln clearwater,-46.0,1222228.5714285718,0,50,14.016187266395361,0.0,0
autonation nissan brandon,-283.46153846153845,1340298.3774038465,0,65,14.108403562946481,0.0,0
autonation nissan clearwater,-123.58490566037736,889961.9013062409,0,53,13.698935056913951,0.0,0
autonation nissan delray,-581.8965517241379,930486.4532019703,0,29,13.743463871042282,0.0,0
autonation nissan jacksonville,172.5,236729.16666666666,0,10,12.37467623421989,0.0,0
autonation nissan kendall,-646.5,1487222.4747474745,2,100,14.212421499791072,1.0986122886681098,1
autonation nissan marietta,-119.23076923076923,682411.858974359,0,13,13.433390118731126,0.0,0
autonation nissan memphis,890.3846153846154,785056.0897435896,0,13,13.573511719908165,0.0,0
autonation nissan miami,-801.1627906976744,1577290.2823920266,1,43,14.271219555542158,0.6931471805599453,0
autonation nissan orange park,14.705882352941176,489549.9108734403,0,34,13.10124374141462,0.0,0
autonation nissan pembroke pines,-480.4347826086956,735254.9552429668,0,69,13.507973955999852,0.0,0
autonation subaru arapahoe,97.5,650340.2777777778,0,10,13.385252546820153,0.0,0
autonation toyota fort myers,-265.2173913043478,550655.1437396054,0,184,13.218865834780654,0.0,0
autonation toyota gulf freeway,-432.89473684210526,957017.543859649,0,19,13.771578047321182,0.0,0
autonation toyota mall of georgia,-1.9736842105263157,710958.8371266003,0,38,13.474371219322931,0.0,0
autonation toyota north arlington,-430.0,3954138.888888889,0,10,15.190273661168536,0.0,2
